序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource,Score
370,#美食成都#深度探寻春熙路各大商场的地下美食！这里堪称是吃货的天堂，你都吃过吗？via 精选成都 ????????, 9月19日 12:27,128,147,181,微博 weibo.com,Fmwadx9JP,0,903,-689,2,0.625640937420249
371,【你知道吗？除了跑马拉松 成都也流行铁人三项】#运动成都#今年“铁三”最高殿堂科纳世锦赛（IRONMAN KONA）将史无前例地迎来五位中国铁人参赛。这是史上中国铁三玩家最多的一次。值得一提的是，五人之一的张璐来自成都，而寥寥几位参加过科纳世锦赛的中国选手中，有四位都是从成都的俱乐部走出来的。 ????????...展开全文c, 9月19日 11:59,27,12,22,微博 weibo.com,FmvYR70q2,0,904,-690,2,0.7360280233907401
372,省政府常务会：9月25日起，四川全面实施“多证合一”改革, 9月19日 11:32,57,6,8,微博 weibo.com,FmvO0yNRW,0,905,-691,2,0.6379772666528225
373,【成都市网络安全进校园主题教育活动拉开帷幕】#网络安全周#网络安全问题日益增多，如何防范网络安全隐患成了重要课题。今日，盐道街小学网络安全周教育活动正式启动。本次活动以“网海扬帆 安全为先”为主题，通过开展主题班会、网络安全辩论赛、网络安全公约等活动，切实加强学生对网络安全的认识， ????????...展开全文c, 9月19日 11:04,31,3,8,微博 weibo.com,FmvCUlb50,0,906,-692,2,0.628846474426791
374,【男神@李伯清 散打健康养生 你期待不？】#天府文化#这次李贝贝被@四川卫生计生 邀请来录制“李伯清话健康”系列散打评书，目的是要用老百姓最喜闻乐见的方式推广健康知识，让群众树立科学的健康意识。据介绍，“李伯清话健康”节目计划今天完成所有录制，近期将在广播、电视、报刊、移动视频等多个媒 ????????...展开全文c, 9月19日 10:37,50,29,42,微博 weibo.com,FmvrznuV8,0,907,-693,2,0.635829327404648
375,【成都网球公开赛即将开赛 约吗】#运动成都#2017年ATP250成都网球公开赛将于9月23日至10月1日在四川国际网球中心举行，组委会宣布现青少年男子世界排名第一的吴易昺，届时将以外卡身份出战。经过多年经营，ATP250成都网球公开赛影响力正在快速扩大，不少网坛之星也把该赛视为职业生涯的起跑线而积极求 ????????...??查看图片展开全文c, 9月19日 10:09,46,35,12,微博 weibo.com,FmvgcCRho,0,908,-694,2,0.7641164107183664
376,【6分钟穿越川藏“第一关” 雅康飞仙关隧道今晨贯通????】#连线四川#今天凌晨4点，雅康高速飞仙关隧道最后数米岩体被正式打通，从而实现双向贯通。这也标志着我省首条进入甘孜藏区的高速大动脉，又打通了一个重要的控制性节点。雅康高速建成后，近4小时可从成都到康定，比原路程至少节约2个小时，同时， ????????...展开全文c, 9月19日 09:41,45,61,212,微博 weibo.com,Fmv4W9p3L,0,909,-695,2,0.7429438267121613
377,【国际智库米尔肯独家详解：为何成都能拿下“中国最佳表现城市”】#住在成都#近日，米尔肯研究所发布《中国最佳表现城市》报告，成都超越北上广深，当选“中国最佳表现城市”。该报告作者之一、米尔肯研究院亚洲中心研究部董事总经理Perry Wong在接受记者专访时表示“成都的巨大增长潜力，让我印象深刻 ????????...展开全文c, 9月19日 08:53,45,25,28,iPhone 6s,FmuLwh0es,0,910,-696,2,0.7668617360449582
378,【截止今晨7时，成都主城区空气质量 优】#空气质量#@成都环保 说，根据成都市环境空气质量实时监测显示，截止时间9月19日7时主城区空气质量指数类别 优 空气质量实时数据详见O网页链接 ????????, 9月19日 08:35,14,评论,8,iPhone 6s,FmuE47dHG,0,911,-697,2,0.6401879646814466
379,【口腔保护牢记“三三制”】#气象与生活#口腔癌好发于青壮年男性。抽烟、喝酒对口腔黏膜的刺激，不注意口腔卫生等都可能诱发口腔癌。保护口腔健康牢记“三三制”：每天早中晚刷牙3次，每次3分钟。即使中午不方便也要用淡盐水漱口。如果频繁出现口腔溃疡、且持续2周不好的人，要注意排查。据@新浪健康, 9月19日 08:09,6,4,7,iPhone 6s,FmutwssU3,0,912,-698,2,0.7575859375071525
380,【久雨渐转晴】#早安成都#今天气温有回升，不过最高在27℃左右，没有热，只有秋高气爽。@成都气象 说，预计今天白天小雨渐渐停止，之后是阴云的天气，明天有望转晴，适宜洗洗晒晒。【今日限行尾号2、7】 ????????, 9月19日 07:39,16,10,7,iPhone 6s,FmuhybRN3,0,913,-699,2,0.7717647242346555
381,#晚安成都#来玩个游戏，看看你最后打出的是什么测最近你都关注哪个歌手！（人民网） ????????, 9月18日 23:12,2,112,8,微博 weibo.com,FmqXMjiqy,0,914,-700,2,0.6118198835647851
382,【四川省2017年国家网络安全宣传周活动在内江启幕】#网络安全周#9月18日，四川省2017年国家网络安全宣传周活动在内江拉开帷幕。今年的网络安全宣传周活动围绕“网络安全为人民 网络安全靠人民”为主题展开，活动内容涵盖主旨演讲、峰会论坛、公众体验展、主题日活动等，将持续到9月24日。在今年的网络 ????????...展开全文c, 9月18日 22:16,24,4,12,微博 weibo.com,FmqBavQud,0,915,-701,2,0.5990093865475059
383,【人老心不老！白发老伯玩跳舞机帅炸了】#网事聚焦#15日，重庆一位满头银发的老爷爷在跳舞机上灵活地跟随节奏跳舞。网友：这才是行遍千山万水，归来仍是少年吧 ??????（时间视频）L时间新闻视频的秒拍视频 ????????, 9月18日 22:08,8,9,44,微博 weibo.com,FmqxxC2oa,0,916,-702,2,0.7116379159431905
384,【照片怎么拍????女生旅行拍照技巧】#网事聚焦#就算你有360度无死角的脸蛋，男友拍照技术不给力，一样变成表情包。再过半个月就放国庆长假，拍照变美技巧赶快来看看，让你拍出最完美的照片。 ????????（乐山吃喝玩乐爆料） ????????, 9月18日 21:30,92,43,78,微博 weibo.com,Fmqi85AIc,0,917,-703,2,0.6937752040554732
385,#美食成都#抹茶千层，不用去网红店排队，自己在家就能做起来！（达叔食堂）L达叔食堂的秒拍视频 ????????, 9月18日 20:48,60,19,28,微博 weibo.com,Fmq1556So,0,918,-704,2,0.6341693314305991
386,【手机这样充电不正确】#生活服务#时常会听到手机因充电爆炸起火伤人，也有人建议大家不要在充电的时候使用手机，不要整夜给手机充电等等，这些建议是否有科学依据？ 下面帮大家梳理几个常见的误区，转发扩散！（河南消防） ?? ????????, 9月18日 20:10,21,4,13,微博 weibo.com,FmpLEep1r,0,919,-705,2,0.7549245617144555
387,【饺子皮变身葱油饼 懒人快手零食系列~】#美食成都#包饺子剩下的饺子皮怎么办？可以用来做葱油饼！星星点点淡绿的小葱衬托着金黄的饼皮，光是外观就够馋人了，闻起来也是葱香扑鼻~！ps：一张饼的饺子皮不要太多，最多6—7张，太多了不容易擀开。（四川美食搜索） ????????, 9月18日 19:36,63,12,38,微博 weibo.com,FmpxQtAul,0,920,-706,2,0.7013594318864643
388,【成都国际马拉松比赛本周六举行 23日7：00至15：00 这些道路临时交通管控】#住在成都#9月23日，2017成都国际马拉松比赛在成都天府新区和高新南区举行。为确保比赛期间道路交通的安全、有序、畅通，届时，@成都交警 对赛区部分道路实施临时交通管控措施。管控时段从当天7：00至15：00，其中，天 ????????...展开全文c, 9月18日 19:02,70,53,40,微博 weibo.com,Fmpk32NAn,0,921,-707,2,0.7593633801425845
389,【快讯：党的十九大将对党章适当修改】#国内新闻#中共中央政治局会议：党的十九大根据新形势新任务对党章进行适当修改。要把党的十九大报告确立的重大理论观点和重大战略思想写入党章。@人民日报 ????????, 9月18日 18:29,20,评论,4,微博 weibo.com,Fmp6F13yN,0,922,-708,2,0.6891329874708951
390,【十八届中央纪委八次全会10月9日召开】#国内新闻#中共中央政治局会议同意2017年10月9日召开中国共产党第十八届中央纪律检查委员会第八次全体会议。@新华视点????????, 9月18日 18:06,5,评论,6,搜狗高速浏览器,FmoXG3afs,0,923,-709,2,0.6159187655867636
391,【本届西博会签订投资额2000万元以上正式合同项目692个，投资总额6329.81亿元】#第二届西博会进出口展暨国际投资大会#于今日顺利闭幕，75个国家（地区）参会参展，中外嘉宾超过2万人，9000余名专业采购商到会洽谈采购，8.2万人次观众现场观展。本届大会四川与国内外投资者共签订投资额2000万元以上的正 ????????...展开全文c, 9月18日 17:52,9,2,11,搜狗高速浏览器,FmoRL4Jhj,0,924,-710,2,0.7207594624598026
392,【本周免费观看《战狼2》】#天府文化#1、本周三、周日（ 9月20日、9月24日）公益场影片为《战狼2》；2、公益电影放映时间为上午10点半；3、市民和外来人员均可凭身份证（或老年证）直接到38家指定影院现场免费办理电影票后观看。详情查看大图~ @文化成都 ????????, 9月18日 17:23,23,38,27,搜狗高速浏览器,FmoG0BoPC,0,925,-711,2,0.6392033652676941
393,#VR看成都#快来和@锦绣青羊 一起逛逛VR镜头下的宽窄巷子吧~#成都政能量联盟#, 9月18日 16:53,27,4,13,微博 weibo.com,FmotWsw5G,0,926,-712,2,0.6090226025720089
394,【人从众！春熙路游园闯关 奖品拿到手软啦~[噢耶]】#网络安全周#2017年成都市国家安全宣传周公众体验活动正在春熙路火热展开，还没来的盆友，可要抓紧时间啦。9月18日-23日，只要你来答题挑战，就能赢得U盘、充电宝、雨伞等丰富奖品。如果你觉得还不够，集齐“成都网络安全”六张贴纸，还能抽取扫地机 ????????...展开全文c, 9月18日 16:22,57,31,12,搜狗高速浏览器,FmohnxlFE,0,927,-713,2,0.7382696402640343
395,【蓉平：今年召开的联合国世界旅游大会，为何如此高规格？】#蓉平热点#日前，#联合国世界旅游组织第22届全体大会#在成都举行。全球旅游业巨头齐聚成都，展开一场场巅峰对话，探讨国际旅游新标准、打造国际旅游合作新平台、探索国际旅游发展新方向。而更引来外界关注的，是这次会议的“高规格”——国家 ????????...展开全文c, 9月18日 15:50,转发,评论,赞,搜狗高速浏览器,Fmo49uwqC,0,928,-714,2,0.6972742843716293
396,【疑似骗子出没！！快来看图涨知识，速度转发提醒身边人～】#网络安全周#“哎呀，这个月流量不够，搜到个免费Wi-Fi，连一个？”“我这几天车都没动，咋个有个违章信息呢，后面还有个链接，点击链接？”“恭喜你中了一台笔记本电脑，请联系节目组领取：1234567”……以上类似骗局越来越多，甚至还会出现 ????????...展开全文c, 9月18日 15:20,116,34,21,搜狗高速浏览器,FmnSdEzUI,0,929,-715,2,0.7644943337904513
397,【惊喜！九寨沟震后现新景观 景区有望逐步分区域开放】#连线四川#来自中科院、环保部等机构十余名生态专家组成的科学考察团发现，九寨沟个别景观遭遇较大程度的毁坏，但震后也造就了一些新的景观，如下图双龙海瀑布。四川省旅发委表示，九寨沟景区有望很快地分区域进行有序开放。（四川日报） ????????...展开全文c, 9月18日 14:44,77,144,212,搜狗高速浏览器,FmnDphbgy,1,930,173,2,0.7548362502085715
398,【雀儿山隧道国庆前通车 10分钟翻越“川藏第一险”】#连线四川#世界上第一座海拔4300米以上的超特长公路隧道——雀儿山隧道预计2017年国庆节前通车。隧道通车后，将打通一条新的川西自驾游黄金通道，缩短里程达20公里，仅需5到10分钟便可穿越以前需2小时左右的雀儿山！国庆，走起！O雀儿山隧道国庆前通车 10分钟翻越“川藏第一险... ????????, 9月18日 14:04,24,26,17,iPhone 6s Plus,Fmnnu3djV,0,931,-716,2,0.7717893418010473
399,【用半圆就能画出的萌萌动物】#博闻广记#用一个半圆形，就可以画出这么多种小动物！手帐、哄娃必备↓↓????????马住照着画吧！@合家欢阿欢阿欢 ?? ????????, 9月18日 13:42,23,3,25,iPhone 6s Plus,Fmnele4o2,0,932,-717,2,0.7291503767484575
400,【玉米的3种新吃法，爱吃玉米的看过来】#生活服务#带着创意吃玉米，连须都不剩！烤玉米的南北分歧先放一放吧！@微在涨姿势 L微在涨姿势的秒拍视频 ?????? ????????, 9月18日 13:04,47,2,34,iPhone 6s Plus,FmmYUa7Ht,0,933,-718,2,0.691645414713636
401,【闲云小阴天 夜来伴雨眠】#成都午间天气#小雨渐渐停了，雨后的空气清冽，午后阴云驻场，小雨暂停～@成都气象 预计最高气温26℃，小雨将随夜色而来，晚归记得带好雨具。 ????????, 9月18日 12:14,7,评论,5,iPhone 6s Plus,FmmEGE8CD,0,934,-719,2,0.7711999549671411
402,#VR看成都#跟@武侯发布 一起看武侯祠全景吧↓↓↓看完一定要转发哦～#成都政能量联盟#, 9月18日 12:01,24,评论,428,iPhone 6s Plus,Fmmzb60ay,0,935,-720,2,0.606773912930116
403,【手下留情！路边的银杏白果不要采 不当食用或中毒】#住在成都#近日，种在道路两旁、身居公园深处的银杏树，因为满身悬挂白果，让不少市民垂涎，暴力采摘银杏果实的行为也时有出现。园林管理部门呼吁市民保护银杏树，不要破坏树干，严重者将受到处罚。银杏果实不当食用还会出现中毒症状。别贪小便宜哦~ ????????...展开全文c, 9月18日 11:40,80,388,269,微博 weibo.com,FmmqDwCGj,0,936,-721,2,0.7492857917565853
404,【请转发周知！今日14时30分起 成都市试鸣防空警报】#住在成都#今日14时30分至14时53分，成都全市行政区域内试鸣防空警报试鸣演练信号，包括预先警报、空袭警报和解除警报3种。市人防办提醒：防空警报试鸣演练期间，请广大市民保持正常的工作和生活秩序，并注意识别防空警报信号。°今日14时30分起 我市试鸣防空警报 ??????????查看图片, 9月18日 11:12,35,15,25,微博 weibo.com,Fmmfh4OM2,0,937,-722,2,0.7570732312158942
405,"【天府绿道锦江段一期约5公里 春节前完成】#天府绿道##四川喜迎十九大#天府绿道锦江段，作为成都天府绿道的重要区域,将再现天府胜景。据悉，天府绿道锦江段的规划区域已经确立，总长度约5公里,将于2018年春节前完成。锦江区将打造具有锦江特质的乡村旅游，着重植入“文化”“国学”“艺术”等功能，发 ????????...展开全文c", 9月18日 10:44,22,评论,2,微博 weibo.com,Fmm3UE8eZ,0,938,-723,2,0.7597077180890888
406,快来春熙路，参与“2017年成都市#国家安全宣传周#公众体验活动”啦～现场涨姿势，还有奖品拿～（来自L一直播:成都发布正在直播）APP下载地址：O网页链接 ????????, 9月18日 10:10,4,9,8,一直播,FmlQdrhNZ,0,939,-724,2,0.6255768034040183
407,【你有一封成都市国家网络安全宣传周邀请函！请查收】#住在成都#2017年成都市国家网络安全宣传周将于今天开始举行，作为安全周的“重头戏”，内容丰富的公众体验活动将于9月18日至9月23日在春熙路举行，期间将开展一系列兼具实用性、趣味性和互动性的落地活动，欢迎市民围观快戳链接收藏→ ????????...展开全文c, 9月18日 09:52,40,10,3,微博 weibo.com,FmlJ5Ea2l,0,940,-725,2,0.7479489599780142
408,【如果你记得今天，请转发微博传递历史】#博闻广记#86年前的今天，1931年9月18日，“九一八”事变爆发。自此，中华民族开启长达14年浴血奋战。大半个中国被践踏，3500多万同胞伤亡。一寸山河一寸血，曾经的苦难不能忘，曾经的牺牲不敢忘。今天，转发传递，为同胞，为先辈，为抗争！ ??????据@人民日报 ????????, 9月18日 09:08,81,13,32,iPhone 6s,Fmlrh7dK3,0,941,-726,2,0.7467046551733464
409,【截止今晨7时，成都主城区空气质量 优】#空气质量#@成都环保 说，根据成都市环境空气质量实时监测显示，截止时间9月18日7时主城区空气质量指数类别 优 空气质量实时数据详见http://url.cn/43PN6Kf ?????? ????????, 9月18日 08:47,10,7,6,iPhone 6s,FmliAoYvT,0,942,-727,2,0.6707294675869048
410,#气象与生活#【秋季，腹部千万别着凉】腹部有很多重要经脉，如脾胃经、肝肾经穿过，任冲督三脉起于腹腔内。此处受凉将引起腹部经脉气血瘀滞不通，对脏器功能都会有影响。例如有胃病史的人受寒易胃疼，经期女性受寒容易痛经等。所以，秋季一定要护好腹部，别露脐。 ??据@新浪健康, 9月18日 08:15,14,4,14,iPhone 6s,Fml5skrgb,0,943,-728,2,0.7508871798076928
411,【真是一场秋雨一场寒～今天你出门穿的长袖or短袖？】#早安成都#@成都气象 预计未来三天天空还是难有“起色”哦～今天白天雨水暂歇，阴天接管天空，气温19～26℃；今晚小雨复又来，19日白天阴天间多云，气温19～26℃；19日夜间我市西部有小雨，20日阴转多云，最高气温28℃。【今日限行尾号1、6】 ????????, 9月18日 07:43,35,20,14,iPhone 6s Plus,FmkSAvNS8,0,944,-729,2,0.7271351390665621
412,"#晚安成都#""生活是自己的????尽情打扮????尽情可爱"" ?????? ????????via思想聚焦 ????????", 9月17日 23:23,14,9,42,iPhone 6s Plus,FmhBN4fT0,0,945,-730,2,0.6616110894214065
413,【灌篮高手的即视感 国际篮联三对三大师赛大战春熙路】#住在成都#世界级草根篮球盛宴——2017国际篮联三对三大师赛中国区预选赛全国总决赛今晚在成都最繁华的春熙路——红星路广场拉开帷幕。现场除了紧张激烈的比赛，还有着像花式变脸、太极、武之韵等中国传统文化表演；再加上性感的拉拉队、新潮的街 ????????...展开全文c, 9月17日 22:46,14,16,24,iPhone 6s Plus,FmhmBCL2u,0,946,-731,2,0.7625881783693432
414,【出租司机的美食秘籍】#美食成都#成都的大多数出租司机，不仅会吃更懂吃，无论是藏得多深的苍蝇馆子，只要味道巴适，出租车师傅们也能给你翻个底朝天。（运动路标） ?? ????????, 9月17日 21:48,57,24,59,iPhone 6s Plus,FmgZf8NMH,0,947,-732,2,0.7640472326767742
415,#网事聚焦#妈妈不在家系列，这爸爸也太厉害了吧！烤箱：我到底做错了什么？via蚂蚁视频 L蚂蚁视频的秒拍视频 ?????? ????????, 9月17日 20:48,25,30,38,iPhone 6s Plus,FmgARmurH,0,948,-733,2,0.5819512313209623
416,【9个跑后拉伸动作 塑造完美腿部线条】#博闻广记#秋高气爽，又到跑步好时节！收好9个跑后拉伸动作，帮你放松肌肉、保持腿部线条！@人民网 ?????? ????????, 9月17日 19:36,40,14,20,iPhone 6s Plus,Fmg7w0SmD,0,949,-734,2,0.7133792083864361
417,【10种刮油食物不发胖，先吃先瘦】#生活服务#1、洋葱，促进消化，不含脂肪；2、玉米，促进排泄；3、苹果，降脂；4、韭菜，增进胃肠蠕动；5、蘑菇，保持肠内水分；6、冬瓜，防止脂肪堆积；7、海带，清除胆固醇；8、鸡蛋，使脂肪胆固醇乳化成小颗粒；9、豆腐，不含胆固醇；10、芹菜，利尿消肿。 ?? ????????...展开全文c, 9月17日 18:38,53,6,24,iPhone 6s Plus,FmfJRd4JC,0,950,-735,2,0.6726336860351265
418,【折服所有人的秘制糖醋排骨】#美食成都#只要掌握这道菜的黄金比例酱汁，记住“1234”（图二），就可以烧出酸甜刚好、肉质软嫩的超好吃糖醋小排！一口米饭拌着糖醋汁，再吃口嫩到不行的小排还有更幸福的事吗？快马住试试！@大胃爱丽丝 ?????? ????????, 9月17日 17:32,99,16,57,iPhone 6s Plus,FmfjoAhCP,0,951,-736,2,0.7634664371782989
419,"【注意！成都交警发布""2017成都国际马拉松""交通管控通告】#住在成都#9月23日，2017成都国际马拉松比赛在成都天府新区和高新南区举行。为确保比赛期间道路交通的安全、有序、畅通，成都交警依法决定对赛区部分道路实施临时交通管控措施，管控时段为O23日7:00至15:00 。具体管控路段戳下图↓↓据 ????????...展开全文c", 9月17日 16:53,22,14,12,iPhone 6s Plus,Fmf3tlGr6,0,952,-737,2,0.708081010763675
420,【醉了！松鼠偷吃浸过酒的龙猫粮：摇摇晃晃，控几不住我寄几】#网事聚焦#9月12日，吉林长春的市民李先生，在聚会后将喝剩的酒瓶丢在后院，酒水刚好洒在龙猫的粮食上了，没想到一只小松鼠偷吃了这些龙猫粮，然后就“喝醉了“！松鼠：我是不是快死了？via中国新闻周刊 L一手video的秒拍视频 ?? ????????, 9月17日 16:09,12,11,24,iPhone 6s Plus,FmeLI6o6G,0,953,-738,2,0.746033225248173
421,#VR看成都#这里是@锦江发布 白鹭湾湿地公园～这里也是成都首个国家城市湿地公园～快来看白鹭湾全景↓↓↓#成都政能量联盟#, 9月17日 15:53,7,2,42,iPhone 6s Plus,FmeF77Utr,0,954,-739,2,0.6928273211962879
422,【可怕的生物书 我不看我不看】#网事聚焦#网友@付玥玥 随手翻开了表妹的生物书，发现好多用纸片粘的小天窗，还以为是记录的考点什么的，打开一看哈哈原来是她害怕看到虫子，遮起来了... ...网友：我怎么觉得很可爱 ????????, 9月17日 15:08,25,28,33,iPhone 6s Plus,FmemQboMW,0,955,-740,2,0.7351545428325087
423,【大咖云集！明天到四川内江听听网络安全那些事】#连线四川#9月18日至24日，四川省2017年国家网络安全宣传周活动将在内江国际会展中心拉开帷幕。今年的网络安全宣传周以“网络安全为人民 网络安全靠人民”为主题，中国人民公安大学专家、微软（亚洲）资深研发总监、腾讯安全管理部高级研究员等众多互联 ????????...??查看图片展开全文c, 9月17日 14:51,7,3,7,iPhone 6s Plus,FmefFreWh,0,956,-741,2,0.7004002806512714
424,【10月9日??成都本土民生品牌“全接触”系列将全新亮相】#住在成都#广为成都市民熟悉和喜爱的@成都全接触 民生品牌栏目，将于10月9日全新改版精彩亮相啦。与此同时，成都电视台CDTV5还将推出《全接触冲击波》《全接触再报道》以及《生活全接触》三档各具特色的新栏目，形成晚间三小时全直播的民生资讯节 ????????...展开全文c, 9月17日 14:37,86,43,11,iPhone 6s Plus,Fmeab6LrD,0,957,-742,2,0.6658156906087398
425,#网事聚焦#网评九大另类月饼，你最喜欢吃哪个？你还遇到过哪些，欢迎补充_________ 据@人民网 ???? ????????, 9月17日 14:01,24,23,11,微博 weibo.com,FmdVnyFR0,0,958,-743,2,0.6536537098641843
426,【嫩滑Q弹！干贝鲜香蒸蛋】#博闻广记#鲜美高蛋白的干贝，搭配嫩滑的鸡蛋羹，蒸出来分分钟让你停不了口，小宝宝也很适合哦~赶紧马住吧！ ??????据@四川美食搜索 ????????, 9月17日 13:30,19,2,14,iPhone 6s Plus,FmdIV9NKI,0,959,-744,2,0.7681122499488293
427,#生活服务#2分钟，教你做一把可以开合的纸伞，好玩又厉害，马住试试～网友：以前小时侯吃的蛋糕上就会插一把小伞～小编say：暴露年龄了～via创意铺子 L创意铺子的微博视频 ?????? ????????, 9月17日 12:50,44,4,42,iPhone 6s Plus,Fmdsy861P,0,960,-745,2,0.7044352194446027
428,【雨水不移驾 惟有在家宅】#成都午间天气#昨夜雨水访蓉，一时半会还不会移驾呢，11时成都市均温为21.7℃。@成都气象 预计午后阴云不散，小雨间断，最高气温24℃。这么巴适的气温，最适合在家宅起~另外，夜间小雨还会敲门哦。 ????????, 9月17日 12:12,4,2,3,iPhone 6s,FmddesqZt,0,961,-746,2,0.8017858416789919
429,#住在成都#今天中午，我想来碗酸辣粉，吸溜吸溜……你呢？???? ????????, 9月17日 11:48,27,36,30,微博 weibo.com,Fmd3ovKe5,0,962,-747,2,0.6716777917344868
430,#住在成都#没错，我就是团团粉~滚滚迷~图据@ipanda熊猫频道 ????????, 9月17日 11:15,20,6,40,搜狗高速浏览器,FmcQf0aJS,0,963,-748,2,0.7108772527090758
431,【“十一”长假 成都机场预计运送58万人次出行 大家准备去哪儿？】#住在成都#随着“十一”假期的临近，成都机场目前每天的航班量和旅客出港人数也呈现出增长趋势。据分析，在假期期间，成都机场将出现两次客流高峰，第一次客流高峰将从9月29日开始，一直持续到10月3日；第二波高峰从10月7日开始，并持 ????????...展开全文c, 9月17日 10:40,27,33,13,搜狗高速浏览器,FmcBP8To7,0,964,-749,2,0.7892560033919662
432,#VR看成都#不一样的视角，不一样的精彩~这样看白鹿镇你试过吗？#成都政能量联盟#, 9月17日 10:18,6,3,5,搜狗高速浏览器,FmcsUxSV4,0,965,-750,2,0.5871084254656433
433,【四川三万考生角逐最后一届司考 大家加油！】#连线四川#有这样一场考试，由于报考人数众多，通过率不高，被冠以“天下第一考”的称号，这就是国家司法考试。9月16日上午8时30分，2017年国家司法考试正式开考。据了解，今年四川报考人数创下历史新高，全省有30639人报考，其中成都考区报考人数达14056 ????????...展开全文c, 9月17日 09:50,16,40,152,搜狗高速浏览器,Fmchw36xQ,0,966,-751,2,0.7524732321044951
434,#秒拍成都#雨中的成都仿佛时间都慢下来 ??????图据@朱毁毀 ?????? ????????, 9月17日 09:17,11,39,109,iPhone 6s,Fmc4gwshC,0,967,-752,2,0.7848895935783387
435,【为生命转发！关于献血，你应该知道这些】#博闻广记#近日，浙江姑娘许艾菲为15岁男孩捐赠造血干细胞，这一善举感动了许多人。2016年，全国共有1400万人次参加无偿献血。你适合献血吗？献血前需要做哪些准备？什么是捐献造血干细胞？…关于献血的常识，戳图学习↓↓据@人民日报 ????????, 9月17日 08:43,23,4,11,iPhone 6s,FmbQvrpYX,0,968,-753,2,0.7473775494467765
436,#气象与生活#【秋季感冒咳嗽试试这款美食】将白萝卜去皮，切段约3厘米；每段萝卜上面，切个半厘米厚的小片当盖子，用勺子把白萝卜中间挖个小洞变成萝卜盅。往盅里灌蜂蜜，再盖上盖子，放到锅里，用清水蒸40分钟。坚持食用几次，即可见效。 ??????据@新浪健康, 9月17日 08:12,5,4,7,iPhone 6s,FmbDNlRi5,0,969,-754,2,0.7190714407807887
437,【雨天晴天对半开 秋风秋雨润蓉城】#早安成都#细雨飘飘和云层覆盖，是未来几天天气的写照。@成都气象 预计今天白天到夜间天空阴沉，以小雨为主，18日白天到19日白天雨水停歇，天空在阴天与多云天之间摇摆，气温20～26℃。细雨绵绵，也许是老天希望忙碌一周的各位在家好好陪陪家人。 ????????, 9月17日 07:35,11,9,7,iPhone 6s,Fmbp43SvU,0,970,-755,2,0.7864291452448666
438,【看完这篇健康小便指南，我立马去上了趟厕所】#晚安成都#小便发黄、老跑厕所、喝完水就想排尿、晚上总起夜……你被“撒尿”这件事儿绑架了吗？调查显示，约16%的中年男性有排尿困扰；20%~40%的女性会患上尿道炎；而每年约1/10的美国女性患上膀胱炎。《生命时报》采访专家，带你从小便中瞧健康那 ????????...展开全文c, 9月16日 23:31,18,8,13,微博 weibo.com,Fm8ef3J4u,0,971,-756,2,0.7357565316892862
439,【用freestyle教化学，重庆90后老师让化学不再枯燥】#网事聚焦#赵镭的化学课，充满了段子和学生的笑声，为了让化学变得更有趣，他用rap的形式唱出元素周期表。有人认为他不够严肃，他说：“学生喜欢老师，才会喜欢这门课，发现化学的乐趣。” @二更视频L二更视频的秒拍视频 ????????, 9月16日 22:59,23,12,51,微博 weibo.com,Fm81gczEF,0,972,-757,2,0.7266594878939687
440,#网事聚焦#你因为哪首歌爱上了一个歌手？ （人民网） ????????, 9月16日 22:29,24,83,22,微博 weibo.com,Fm7P5efCP,0,973,-758,2,0.5746162558345944
441,【@ 四川篮球迷????四川金强蓝鲸球迷会今天成立啦！】#体育看台#今天下午，四川金强俱乐部官方球迷组织——四川金强蓝鲸球迷会在四川金强篮球基地成立。四川金强蓝鲸球迷会目前由德阳、泸州、宜宾等五个地方分会组成，拥有会员近千人。CBA新赛季即将开幕，你也是球迷吗？一起为四川队加油！图据涂新 ????????, 9月16日 22:00,4,11,26,微博 weibo.com,Fm7Dl5hSH,0,974,-759,2,0.6334187578281314
442,【成都网红甜品店打卡攻略】#美食成都#周末去哪儿？ ??当然是去凉爽的甜品店里，幸福的吃甜品了！成都26家网红咖啡甜品店合集，许多都是适合小仙女们拍照打卡的圣地，喜欢甜品和拍照的赶快转走吧 （作者：好好吃饭的江小姐 ??） ????????, 9月16日 21:20,127,95,156,微博 weibo.com,Fm7n4g0WW,0,975,-760,2,0.61603194570902
443,#住在成都#昨天，在成都府青立交下面，网友开车正常行驶，到了斑马线让行路人。然后一位大爷就给网友敬了一个礼，很赞....@成都这点事 L成都这点事的微博视频 ????????, 9月16日 20:38,14,29,79,微博 weibo.com,Fm762aKQS,0,976,-761,2,0.7392754264391213
444,【续写巴山风情 35年后新华社《瞭望》记者再访达州】#连线四川#地处川陕渝交界地的达州市，是国家秦巴山集中连片扶贫开发重点区域，贫困人口居四川各市州之首。1982年改革开放之初，新华社《瞭望》新闻周刊记者采写的长篇通讯《巴山风情录》，引起读者强烈共鸣。35年过去了，新华社《瞭望》记者重访故 ????????...展开全文c, 9月16日 20:12,5,5,6,iPhone 6,Fm6VxwY8y,0,977,-762,2,0.7455905873361974
