序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource
233,【激光航测首飞“8·8”九寨沟地震灾区】#交通动态#8月18日，厅交通勘察设计研究院测绘队激光雷达航测在“8·8”九寨沟地震灾区进行首次飞行。通过机载激光雷达系统测绘得到的高密度的三维激光点云、高分辨率正射影像、数字高程模型、数字线画图等数据，为更新完善川九路BIM模型提供基础资料，为科 ????...展开全文c,8月22日 11:35,1,1,5,360安全浏览器,FifRAtGeU,1,9710,481,9
266,【即时路况信息】#四川九寨沟7.0级地震# 截至8月16日10时，为保障救援车辆通行全省高速路网：包茂高速达陕段（达州至陕西方向）1194公里+800米 段应急车道与超车道实行交通管制；达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行；岳池收费站进行封站扩建；巴广渝高速 K95+890（广安至巴 ????...展开全文c,8月16日 11:02,2,评论,1,专业版微博,Fhl5coTJl,1,9743,482,9
271,【这是责任，也是使命】#四川九寨沟7.0地震#“90后”李明，是绵阳市运管处的“小年轻”，8月份刚刚领了结婚证，新婚的甜蜜还洋溢在脸上。8月9日一早，刚结束夜班值守的他，还没来得及休息便投入到转运工作中。为了急需转运的游客能早日回家与亲人团聚，他只能将对家人的亏欠深深埋入心中，因为这是责任 ????...展开全文c,8月15日 13:32,转发,1,6,专业版微博,FhcDAeVjI,1,9748,483,9
272,【“爸爸，我想给你送安全帽”】#四川九寨沟7.0地震#龚锐是绵阳市运管处客运科副科长，地震发生后，他立即奔往游客转运保通保畅工作的最前线。汶川地震、九寨沟地震龚锐都奋战第一线，不能陪伴在家人左右。“爸爸，我想给你送安全帽。”孩子懂事的话语，让龚锐欣慰又带点遗憾。,8月15日 11:06,1,1,3,专业版微博,FhbG3w096,1,9749,484,9
275,【即时路况信息】#四川九寨沟7.0级地震# 截至8月15日8时，为保障救援车辆通行全省高速路网： 包茂高速达陕段（达州至陕西方向）1194公里+800米 段应急车道与超车道实行交通管制；内达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行；岳池收费站进行封站扩建；巴广渝高速 K95+890（广安至巴中 ????...展开全文c,8月15日 09:16,2,评论,3,iPhone 6s Plus,FhaXihmdn,1,9752,485,9
277,我们和你在一起！,8月15日 00:13,转发,1,94,iPhone 6s Plus,Fh7oWuKCv,1,9754,486,9
279,【8月14日现场抢通保通工作情况】#四川九寨沟7.0级地震# 一、川九路四个重要工点抢通保通应急工程：????上四寨钢棚洞工点开展了排危、基础施工、立柱安装，目前安装9米。改线段工点便道路基工程基本完成，正在桥台施工，钢便桥己运抵漳扎镇。路基沉降工点内侧道路己拓宽，可双向通行，路基加固 ????...展开全文c,8月14日 17:30,1,评论,赞,专业版微博,Fh4LnaVwM,1,9756,487,9
283,【交通速度＋高科技信息化手段＝四川交通人】#四川九寨沟7.0级地震# 08月08日21时19分在四川阿坝州九寨沟县发生7.0级地震。地震发生后，四川交通第一时间作出反映，成立交通应急指挥部，并派出专家技术团队20余人，携带专业设备、无人机等，奔赴灾区现场。四川交通完备的应急预案，科学的决策部署 ????...展开全文c,8月14日 13:30,2,1,赞,微博 weibo.com,Fh3bUEnhz,1,9760,488,9
285,【 四川境内仍设有16处交通管控点】#四川九寨沟7.0级地震# 各管控点对“运送抢险救灾设备、抢救通信电力和老百姓返回灾区”等车辆放行，同时鉴于灾区“救援物资过剩”情况，有关部门配合民政等部门，对运送捐赠物资进灾区车辆做好劝返工作，确保通往灾区的道路交通有序畅通。具体管控点如下↓↓ ????...展开全文c,8月14日 10:07,4,评论,赞,360安全浏览器,Fh1RI12lm,1,9762,489,9
287,【即时路况信息】#四川九寨沟7.0级地震# 截至8月13日20时，为保障救援车辆通行全省高速路网： 广甘高速，广元至甘肃方向出川车辆正常通行，前往九寨沟方向的货车在木鱼站出站分流；成雅高速成佳站、太平站入口，因车流量大收费站关 闭；成乐高速夹江站入口，因车辆故障，禁止货车进入；青龙站至张坎站 ????...展开全文c,8月13日 20:07,2,3,赞,iPhone 6s Plus,FgWmW1GKX,1,9764,490,9
288,【九寨沟县7.0级地震交通运输抢险救灾最新情况】#四川九寨沟7.0级地震# “8·8”九寨沟7.0级地震发生后，截至8月13日13时，因灾阻断公路已全部抢通并正在全力保通，灾区对外通道保持畅通。交通抗震救灾工作情况一、全力做好保通保畅工作。持续开展抢通道路的保通工作，投入公路保通现场救援人员 ????...展开全文c,8月13日 19:19,3,2,2,iPhone 6s Plus,FgW3sm0Yc,1,9765,491,9
289,【即时路况信息】#四川九寨沟7.0级地震# 截至8月13日16时，为保障救援车辆通行全省高速路网： 广甘高速，广元至甘肃方向出川车辆正常通行，前往九寨沟方向的货车在木鱼站出站分流；成乐高速，夹江站入口，因汽车故障收费站关闭； 内达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行；岳池收 ????...展开全文c,8月13日 16:07,2,1,赞,iPhone 6s Plus,FgUNcmAyh,1,9766,492,9
290,#四川九寨沟7.0级地震# 为了确保随堵随抢、屡堵屡通，灾区一线滑坡点忠于职守的交通人午饭是这样解决的。,8月13日 13:31,22,32,187,iPhone 6s Plus,FgTMcycTX,1,9767,493,9
291,【即时路况信息】#四川九寨沟7.0级地震# 截至8月13日12时，为保障救援车辆通行全省高速路网： 广甘高速，广元至甘肃方向出川车辆正常通行，前往九寨沟方向的货车在木鱼站出站分流；内达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行；岳池收费站进行封站扩建；巴广渝高速K95+890（广安-巴中 ????...展开全文c,8月13日 12:07,1,评论,3,iPhone 6s Plus,FgTdJyBsY,1,9768,494,9
292,【雨过天晴，九寨沟依然美丽】#四川九寨沟7.0级地震# 今天下午，经过雨后的洗礼，九寨沟上空出现了一道彩虹↓↓,8月12日 19:03,23,26,149,360安全浏览器,FgMwlnk4Q,1,9769,495,9
293,【全省高速公路累计开通抢险救援专用车道484条】#四川九寨沟7.0级地震# 全省高速公路交通执法系统全力做好九寨沟县7.0级地震抢险救援高速公路保通保畅工作。截至12日15时，全省高速公路累计开通抢险救援专用车道484条，对应急抢险救援车辆、游客转运车辆实行抬杆放行，确保救援车辆快速顺畅通行 ????...展开全文c,8月12日 17:26,转发,1,2,360安全浏览器,FgLSZtjp1,1,9770,496,9
294,#四川九寨沟7.0级地震# 这是我在震中看到的最美丽背影，头发花白、步履坚毅的阿坝公路养护人。,8月12日 09:37,5,2,58,iPhone 6s Plus,FgIOHlW3p,1,9771,497,9
295,#四川九寨沟7.0级地震# 一面旗帜，一个岗位，一位安全督查员。他有多重要？只有在现场您才能体会。,8月12日 08:42,4,1,27,iPhone 6s Plus,FgIsmDQe4,1,9772,498,9
296,【即时路况信息】#四川九寨沟7.0级地震# 截至8月11日24时，为保障救援车辆通行全省高速路网： 广甘高速，广元至甘肃方向出川的车辆正常通行，前往九寨沟的车辆在木鱼站出站分流； 达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行； 岳池收费站进行封站扩建；巴广渝高速K95+890（广安至巴中 ????...展开全文c,8月12日 00:03,3,评论,7,iPhone 6s Plus,FgF3HF2SM,1,9773,499,9
297,#四川九寨沟7.0级地震# 灯火通明、夜以继日，不知疲倦的交通人，只为灾区的道路更通畅、受灾群众出行更安全。,8月11日 21:50,2,1,15,iPhone 6s Plus,FgEbEaT8w,1,9774,500,9
301,#四川九寨沟7.0级地震#8月11日凌晨2:30，随着两台应急客车33名乘客安全抵达成都东站汽车客运站，全省调集应急运力大规模疏运灾区游客和群众的任务圆满完成。一、疏散九寨沟灾区旅客情况。全省应急调用620辆客车，开行1164辆次，采用接驳方式累计疏散出九寨沟灾区2万余人（主要为散客和外来务工人员） ????...展开全文c,8月11日 12:03,2,1,5,360安全浏览器,FgAlovFoJ,1,9778,501,9
302,【即时路况信息】#四川九寨沟7.0级地震#截至8月11日12时，为保障救援车辆通行全省高速路网：广甘高速，广元至甘肃方向出川的车辆正常通行，前往九寨沟的车辆在木鱼站出站分流；达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行；岳池收费站进行封站扩建；巴广渝高速K95+890（广安至巴中方 ????...展开全文c,8月11日 12:00,转发,评论,6,360安全浏览器,FgAjZEYPT,1,9779,502,9
304,【汪洋：加快已抢通路段清方拓宽工作，提高通行能力】#四川九寨沟7.0级地震#在参加省抗震救灾指挥部第四次会议后，10日晚7时，厅党组书记、厅长汪洋在九寨沟县连夜主持召开交通抗震救灾指挥部现场会，传达省抗震救灾指挥部会议精神，研究部署下步工作。汪洋强调，省委、省政府对交通抗震救灾工作成效 ????...展开全文c,8月11日 10:25,转发,评论,3,360安全浏览器,FgzHGw6tD,1,9781,503,9
305,【目前震区国省干线公路已全部抢通！社会车辆尽量不要前往！】#四川九寨沟7.0级地震# 一、九环东线绵阳至九寨沟县城畅通，沿线没有垮方。实施交通管制，只出不进，车流量不大。二、九环西线国道213线：茂县境内K769+700(石大关旧关楼）处山体高位垮塌已抢通便道，可通行应急车辆，实施交通管制，除 ????...展开全文c,8月11日 08:59,7,3,1,iPhone 6s Plus,Fgz8wlR1m,1,9782,504,9
307,【即时路况信息】#四川九寨沟7.0级地震# 截至8月10日晚12时，为保障救援车辆通行全省高速路网： 广甘高速，广元至甘肃方向出川的车辆正常通行，前往九寨沟的车辆在木鱼站出站分流； 达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行； 岳池收费站进行封站扩建；巴广渝高速K95+890（广安至巴 ????...展开全文c,8月11日 00:03,1,2,6,iPhone 6s Plus,FgvDb1QPM,1,9784,505,9
308,【我省交通运输部门快速有序疏散受阻人员】#四川九寨沟7.0级地震# 交通部门把散客和外来务工人员作为重点，紧急调集应急运力，配合地方及时疏散受灾人员，转运救灾物资。截至8月10日，全省调用应急运力620辆、开行820余辆次，首先最快速度将人员撤离灾区，疏散至平武、文县、川主寺等地，然后采用接驳 ????...展开全文c,8月10日 23:29,转发,1,3,专业版微博,FgvpmpXpP,1,9785,506,9
309,【我厅全力做好保通保畅工作】#四川九寨沟7.0级地震# 受震灾破坏和余震影响，灾区道路发生次生灾害风险大，部分已抢通路段目前还只能供越野车通行，保通压力巨大。我厅科学制定保通方案：一是继续开展隐患排查，厅3个技术小组目前排查出41个隐患点，并分类确定排险除危措施。对飞石严重的G544九倒拐段 ????...展开全文c,8月10日 23:24,7,1,2,专业版微博,FgvnpeHZK,1,9786,507,9
310,【即时路况信息】#四川九寨沟7.0级地震# #截至8月10日晚10时，为保障救援车辆通行全省高速路网：广甘高速，广元至甘肃方向出川的车辆正常通行，前往九寨沟的车辆在木鱼站出站分流；达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行；岳池收费站进行封站扩建；巴广渝高速K95+890（广安至巴 ????...展开全文c,8月10日 22:05,1,2,4,专业版微博,FguRboY5E,1,9787,508,9
311,【即时路况信息】#四川九寨沟7.0级地震# 截至8月10日晚8时，为保障救援车辆通行全省高速路网：广甘高速，广元至甘肃方向出川的车辆正常通行，前往九寨沟的车辆在木鱼站出站分流；达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行；岳池收费站进行封站扩建；巴广渝高速K95+890（广安至巴中 ????...展开全文c,8月10日 20:08,1,评论,赞,专业版微博,Fgu5Psfti,1,9788,509,9
312,【即时路况信息】#四川九寨沟7.0级地震#截至8月10日下午6时，为保障救援车辆通行全省高速路网：广甘高速，广元至甘肃方向出川的车辆正常通行，前往九寨沟的车辆在木鱼站出站分流；达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行；岳池收费站进行封站扩建；巴广渝高速K95+890（广安至巴 ????...展开全文c,8月10日 18:04,4,3,1,360安全浏览器,FgthjucKV,1,9789,510,9
313,#四川九寨沟7.0级地震#“8.8”九寨沟地震灾区及周边应急储备力量分布图↓↓,8月10日 17:10,3,1,4,360安全浏览器,FgsVvizq4,1,9790,511,9
314,【争分夺秒抢抢抢 ——四川交通九寨沟地震抗震救灾首日纪实】#四川九寨沟7.0级地震#8月8日21时19分，四川省阿坝州九寨沟县发生7.0级地震。天撼地摇之后，四川交通人感震而起，闻警而动。首日，四川交通用不到20小时，疏散了近5万游客，打通了灾区主干线！首日，四川交通齐心合力，众志成城!(中国交 ????...展开全文c,8月10日 17:03,3,2,5,360安全浏览器,FgsSDsGJ0,1,9791,512,9
315,【即时路况信息】#四川九寨沟7.0级地震#截至8月10日下午4时，为保障救援车辆通行全省高速路网：广甘高速，广元至甘肃方向出川车辆正常通行，前往九寨沟车辆在木鱼站出站实行分流；广陕高速，剑门关站、朝天站，入口，所有货车实行间断放行；成彭高速，成彭枢纽（往成绵复线高速方向）一类客车正常通 ????...展开全文c,8月10日 16:23,10,1,2,360安全浏览器,FgsCqrMEv,1,9792,513,9
316,【“8.8”九寨沟地震道路运输抢险救灾信息快报】#四川九寨沟7.0级地震#按照厅“8.8”九寨沟地震救灾交通运输应急指挥部指令，厅运管局组织应急运力及时疏散受灾人员，转运救灾物资。截止8月10日12:00：??一、疏散九寨沟灾区旅客情况。全省应急调用620辆（其中阿坝州调集270辆，绵阳调集190辆、 ????...展开全文c,8月10日 14:51,4,4,4,360安全浏览器,Fgs0Ob12R,1,9793,514,9
317,【即时路况信息】#四川九寨沟7.0级地震#截至8月10日下午2时，为保障救援车辆通行全省高速路网：绕城，成绵匝道（内、外环）；禁止所有货车通行；广甘高速，广元至甘肃方向出川的车辆正常通行，前往九寨沟的车辆在木鱼站出站分流；广陕高速，剑门关站、朝天站，入口，所有货车间断放行；成彭高速， ????...展开全文c,8月10日 14:02,7,评论,3,360安全浏览器,FgrHe0ACZ,1,9794,515,9
318,#四川九寨沟7.0级地震#道路抢通保通、旅客运送、高速公路保障……四川交通灾后救援最新消息都在这里了！O道路抢通保通、旅客运送、高速公路保障……四川...,8月10日 13:25,转发,评论,1,360安全浏览器,Fgrs9lSQq,1,9795,516,9
319,【即时路况信息】#四川九寨沟7.0级地震#截至8月10日上午12时，为保障救援车辆通行全省高速路网：绕城，成绵匝道（内、外环）；禁止所有货车通行；广甘高速，广元至甘肃方向出川车辆正常通行，前往九寨沟车辆在木鱼站出站实行分流；广陕高速，剑门关站、朝天站，入口，所有货车实行间断放行；成彭高 ????...展开全文c,8月10日 12:03,10,6,4,360安全浏览器,FgqUJlNpa,1,9796,517,9
320,截至10日7时，最新的九寨沟震区路网运行情况，应急处置和绕行路线图出炉,8月10日 10:40,1,评论,7,360安全浏览器,Fgqn8avJv,1,9797,518,9
321,【九寨沟松潘川主寺 客运班车暂停 全额退票】#四川九寨沟7.0级地震#暂停发往阿坝州及途经阿坝州的旅游包车，同时暂停经国道213线进出阿坝州的客运班车。从茶店子客运站了解到，9日~11日前往九寨沟、松潘、川主寺的客运班线暂停，预售票全额退款；新南门旅游集散中心的九寨沟班线则从9日暂停至13日，也 ????...展开全文c,8月10日 10:32,5,2,5,360安全浏览器,FgqjHmsgo,1,9798,519,9
322,【即时路况信息】#四川九寨沟7.0级地震#截止2017年8月10日10时10分：达陕高速狮子寨隧道因施工，陕西至达州方向实行单洞双向通行；岳池收费站进行封站扩建；巴广渝高速K95+890（广安-巴中）、龙顶观隧道K107+300（广安-巴中）、煤炭垭隧道K123+170（巴中-广安）均因施工半幅双向通行；巴广渝K5+900（广 ????...展开全文c,8月10日 10:22,9,评论,2,360安全浏览器,FgqfYAtsl,1,9799,520,9
323,【即时路况信息】#四川九寨沟7.0级地震#2017年8月10日，截止10点，为保障救援车辆通行：成绵复线高速，全线，入口；绕城成绵匝道（内、外环）；禁止所有货车通行；广陕高速，剑门关站、朝天站，入口，所有货车间断放行；二绕东，成绵匝道，双向，黄牌货车禁止通行；广甘高速，广元至甘肃方向出川的 ????...展开全文c,8月10日 10:06,转发,1,2,360安全浏览器,Fgq9of3dG,1,9800,521,9
324,【最新九寨沟地震交通管制措施】#四川九寨沟7.0级地震#目前，九寨沟震区及沿线道路交通管制情况维持不变，共设置16个交通管控点、管制2条重点高速；松潘经川主寺至九寨一线仍然双向中断；绵阳平武经双河至九寨、甘肃文县经双河至九寨全线依然保持畅通。@四川公安,8月10日 09:24,4,1,2,360安全浏览器,FgpSniUtV,1,9801,522,9
326,"【注意！交通管制陆续解除】#四川九寨沟县7.0级地震#绕东高速：现绕城高速内、外环上成绵匝道交通管制解除，其余路段交通正常。成绵全线新都至金山站入口解除对货车管制,入口恢复正常通行，目前成绵全线双向车辆通行顺畅。G5京昆高速绵广段，绵阳南至江油收费站入口货车解除交通管制。G5京 ????...展开全文c",8月9日 23:16,2,1,1,360安全浏览器,FglTEj4xp,1,9803,523,9
327,【即时路况信息】#四川九寨沟县7.0级地震#截至晚上23时，为保障救援车辆通行全省高速路网：广甘高速，广元至甘肃方向出川的车辆正常通行，前往九寨沟的车辆在木鱼站出站分流。成绵复线全线、绵遂仙海站、松垭站入口（遂宁至绵阳方向）、绵遂张家坪枢纽（遂宁至成都方向匝道）、广南卫子站、荞子坝 ????...展开全文c,8月9日 23:12,转发,评论,2,360安全浏览器,FglRP5G7H,1,9804,524,9
328,我们一起加油 //@四川发布: 我们一起加油,8月9日 22:41,1,评论,83,微博 weibo.com,FglFe7qUY,1,9805,525,9
329,【即时路况信息】#四川九寨沟县7.0级地震#截至晚上22时，为保障救援车辆通行全省高速路网：广甘高速，广元至甘肃方向出川的车辆正常通行，前往九寨沟的车辆在木鱼站出站分流。成绵、绵广（鲜活车除外）、成绵复线全线、城北、广巴（鲜活车除外）、绵遂仙海站、松垭站入口（遂宁至绵阳方向）、张家 ????...展开全文c,8月9日 22:37,25,3,12,微博 weibo.com,FglDwEIOR,1,9806,526,9
330,【现场视频来啦！】#四川九寨沟7.0级地震#近20小时连续奋战！川九路受损路段全线抢通！可供救援机械、越野车单车道通行↓↓via四川发布 L四川交通的秒拍视频,8月9日 19:48,2,2,10,360安全浏览器,Fgkx5jRsx,1,9807,527,9
331,【即时路况信息】#四川九寨沟7.0级地震#截至晚上19时，为保障救援车辆通行全省高速路网：广甘高速，广元往甘肃出川的车辆正常通行，进川前往九寨沟的车辆在木鱼站出站分流；成绵、绵广、成绵复线全线、绕城高速转成绵匝道双向，禁止货车通行（鲜活车辆正常放行）；二绕东成绵匝道双向，黄牌货车禁 ????...展开全文c,8月9日 19:43,转发,评论,5,360安全浏览器,Fgkv71hr4,1,9808,528,9
332,#四川九寨沟7.0级地震#截至8月9日下午17:30，经过近20小时的连续奋战，川九路上四寨至九倒拐因灾断道处已抢通，标志着川九路受损路段全线抢通，供抢险救援机械、越野车辆单车道应急通行。,8月9日 18:51,2,评论,11,360安全浏览器,Fgk9ZnFG2,1,9809,529,9
333,【即时路况信息】#四川九寨沟7.0级地震#截至下午18时，为保障救援车辆通行全省高速路网：广甘高速，广元往甘肃出川的车辆正常通行，进川前往九寨沟的车辆在木鱼站出站分流；成绵、绵广、成绵复线全线、绕城高速转成绵匝道双向，禁止货车通行（鲜活车辆正常放行）；二绕东成绵匝道双向，黄牌货车禁 ????...展开全文c,8月9日 18:11,8,2,3,360安全浏览器,FgjTKoUB3,1,9810,530,9
334,【即时路况信息】#四川九寨沟7.0级地震#截至下午17时，为保障救援车辆通行全省高速路网：广甘高速，广元往甘肃出川的车辆正常通行，进川前往九寨沟的车辆在木鱼站出站分流；成绵、绵广、成绵复线全线、绕城高速转成绵匝道双向，禁止货车通行（鲜活车辆正常放行）；二绕东成绵匝道双向，黄牌货车禁 ????...展开全文c,8月9日 17:07,3,3,2,360安全浏览器,FgjtF9PdO,1,9811,531,9
335,#四川九寨沟7.0级地震#“8.8”九寨沟地震灾区人员疏散方案图（2017年8月9日14时）↓↓,8月9日 17:03,转发,评论,3,360安全浏览器,Fgjs3i4SM,1,9812,532,9
336,第一批乘坐长途客运大巴从九寨沟灾区返回成都的旅客安全到达成都东站汽车客运站。,8月9日 16:54,1,评论,42,360安全浏览器,FgjohxGkv,1,9813,533,9
337,【地震已致19人死亡 247人受伤】#四川九寨沟7.0级地震#从四川省政府新闻办获悉，接九寨沟县应急办书面报告，截至8月9日13时10分，经初步核查，“8·8”九寨沟地震已致19人死亡，247人受伤（40人重伤；其中7人已转院，4人转至绵阳中心医院，3人转至四川大学华西医院，其余已全部转移到九寨沟县人民医院和 ????...展开全文c,8月9日 15:39,4,2,8,360安全浏览器,FgiU24iHv,1,9814,534,9
338,【地震灾区九寨沟共有7000余人需动用应急运力转运】##四川九寨沟7.0级地震##在省指挥部的统一指挥下，交通运输厅运管局及有关道路运输部门积极开展地震灾区人员转运工作。据阿坝州目前掌握的情况，地震灾区九寨沟共有7000余人需动用应急运力转运。一是有6000余人需从九寨沟口转运出阿坝州。截止8 ????...展开全文c,8月9日 15:26,4,1,3,360安全浏览器,FgiOTfZXB,1,9815,535,9
339,【即时路况信息】#四川九寨沟7.0级地震# 截至上午13时，为保障救援车辆通行全省高速路网：绵遂仙海站入口（遂宁至绵阳方向），张家坪枢纽（遂宁至成都方向）；城北、成绵、绵广（鲜活车辆正常放行）、广巴（包括广元东站）、成 绵复线、全线，广南卫子站、荞子坝站，广陕剑门关、朝天站入口，绕城高速 ????...展开全文c,8月9日 13:10,7,1,3,专业版微博,FghVGvUet,1,9816,536,9
340,#四川九寨沟7.0级地震#厅公路局：G353线凉山州会东县车拉河村发生边坡塌方处已恢复通行。,8月9日 11:15,2,评论,7,360安全浏览器,FghaKuvu5,1,9817,537,9
341,【九寨沟县7.0级地震四川交通运输抢险救灾情况】#四川九寨沟7.0级地震#一、投入机具人员情况截止8月9日10时，现场投入抢险机具近40台，抢险人员近200名。抢险队伍包括：阿坝州县交通和公路部门、成兰铁路中铁一局、四川路桥集团、绵九高速施工力量。同时，还从汶马高速、华川集团调集了一批应急救援 ????...展开全文c,8月9日 11:10,8,评论,5,360安全浏览器,Fgh8SpE4a,1,9818,538,9
342,#四川九寨沟7.0级地震#四川九寨沟7.0级地震路网运行情况应急处置和绕行线路图,8月9日 10:19,5,1,4,360安全浏览器,FggO90SJS,1,9819,539,9
343,#四川九寨沟7.0级地震#截至8月9日9时25分，经初步核查，九寨沟县漳扎镇M7.0级地震已造成13人死亡、175人受伤（28人重伤）。相关情况续报。via阿坝州人民政府应急管理办公室,8月9日 09:45,转发,评论,4,360安全浏览器,FggA8ibKj,1,9820,540,9
344,#四川九寨沟7.0级地震#接九寨沟县应急办书面报告，截至8月9日凌晨5时00分，经初步核查，九寨沟县漳扎镇M7.0级地震已造成9人死亡、164人受伤。目前各项工作开展情况如下：????一、道路情况????一是九寨沟县交通部门投入14台装载机、10辆小车、2辆运料车、90名工作人员开展道路抢险工作；二是九寨沟县 ????...展开全文c,8月9日 08:54,11,评论,4,微博 weibo.com,FggfoiByQ,1,9821,541,9
345,【交通部门手绘地图 全力抢通塌方路段】#四川九寨沟7.0级地震#8月9日早7点半，九寨沟7.0级地震导致省道301线九黄机场至漳扎镇6处塌方，交通中断。截至目前，四川省交通运输部门正全力组织道路抢通工作，现场共有9台装载机、2台挖掘机从两头向中间推进，施工作业人员70余人。同时，另外2台挖掘机正从绵 ????...展开全文c,8月9日 08:44,9,6,7,360安全浏览器,FggbpevVg,1,9822,542,9
346,#四川九寨沟7.0级地震#据阿坝州公路局最新路况：G544九黄机场至九寨天堂段畅通。九寨天堂至沟口段K79（中波站）垮方约200米，K83处边坡仍在垮塌，正在组织人员机具努力抢通；K98孤石断道，已抢通简易便道。沟口段到九寨沟县畅通。九寨沟县至双河畅通。G247甘肃文县至四川双河畅通，双河至黄土梁段已抢 ????...展开全文c,8月9日 03:10,12,6,16,360安全浏览器,Fge05AZKN,1,9823,543,9
347,#四川九寨沟7.0级地震#截至9日02:00：G544机场至弓杠岭畅通，弓杠岭至九寨天堂段有多处巨石阻断，九寨天堂至沟口段多处断道 正在组织人员机具抢通，沟口段到九寨沟县畅通。九寨沟县至双河畅通。G247甘肃文县至四川双河畅通，双河至黄土梁段已抢通，黄土梁至江油段畅通。,8月9日 02:46,1,评论,4,360安全浏览器,FgdQd5iH8,1,9824,544,9
348,"#四川九寨沟7.0级地震#接九寨沟县应急办书面报告，截止8月9日1:30，初步统计九寨沟县漳扎镇M7.0级地震造成该县17个乡镇及景区7人死亡、88人受伤（其中重伤21人、轻伤67人）,九寨沟县已组织各方救援力量536人、大型机械46台，积极开展抢险救援工作。 目前，交通方面松潘方向省道301线有断道、落石阻路， ????...展开全文c",8月9日 02:38,2,9,3,360安全浏览器,FgdMNdG3v,1,9825,545,9
349,【司机朋友注意！绕城往成绵高速路口已不允许社会车辆通行】#四川九寨沟7.0级地震#今（9）日凌晨两点左右，成都绕城高速前往成绵高速路口已开通救援抢险绿色通道，该路口不允许社会车辆通行，请司机注意！via四川发布,8月9日 02:24,4,4,10,360安全浏览器,FgdHifODj,1,9826,546,9
350,#四川九寨沟7.0级地震#【四川省交通运输厅紧急部署九寨沟地震应急抢险救援工作】8月8日晚，交通运输厅党组书记、厅长汪洋主持召开紧急会议，传达省委、省政府关于九寨沟地震应急抢险救援的部署，研究安排交通运输抢险救援工作。会议决定：一是迅速启动交通运输I级应急响应，按照《四川省交通运输 ????...展开全文c,8月9日 01:54,2,评论,6,微博 weibo.com,Fgdv2vEHa,1,9827,547,9
351,【?国家主席习近平对四川九寨沟7.0级地震作出重要指示】国家主席习近平对#四川九寨沟7.0级地震#作出重要指示，要求迅速组织力量救灾，全力以赴抢救伤员，最大限度减少人员伤亡。国务院总理李克强对四川九寨沟7.0级地震作批示，要求国家减灾委、国务院救灾指挥部即派联合工作组赶赴灾区，指导帮 ????...展开全文c,8月9日 01:44,转发,评论,5,微博 weibo.com,Fgdr22Iug,1,9828,548,9
352,【九寨沟管理局公布应急电话 24小时值守】#四川九寨沟7.0级地震#据九寨沟管理局消息，地震发生后，全体在岗领导全部进入九寨沟景区内进行安全排查工作，并对外公布应急电话应急电话0837-7739529，24小时值守。,8月9日 00:44,1,评论,6,微博 weibo.com,Fgd2Ry1jY,1,9829,549,9
353,#四川九寨沟7.0级地震#转发扩散！请社会车辆让出救援通道！,8月9日 00:11,29,9,62,360安全浏览器,FgcPrreiU,1,9830,550,9
354,【阿坝州九寨沟县漳扎镇发生7.0级地震续报】#四川九寨沟7.0级地震#2017年8月8日21时19分49秒，阿坝州九寨沟县（东经103.82、北纬33.20）发生7.0级地震，震源深度约20公里。截至8月8日22时58分，九寨沟县漳扎镇有5人死亡，60余人受伤，其中30人重伤。九寨沟景区内树正社区暂无伤亡报告；黑河、双河、安 ????...展开全文c,8月8日 23:50,12,19,21,微博 weibo.com,FgcGUx9aP,1,9831,551,9
355,#四川九寨沟7.0级地震#厅公路局：G247线（原S205）绵阳至九寨沟公路九寨沟境内双河镇下甘座村16 300处，目前小车可以通行。,8月8日 23:49,转发,2,9,微博 weibo.com,FgcGpcuuy,1,9832,552,9
356,【九寨沟地震交通管制！只允许政府救援车辆进入灾区】#四川九寨沟7.0级地震#一、因九寨沟县发生地震，对九黄环线实行全线交通管制，只允许政府救援车辆进入灾区，其他社会车辆一律不得进入。二、对G213甘南入川方向、G212陇南入川方向车辆进行劝返。请务必服从现场公安交警的指挥管理。三、对 ????...展开全文c,8月8日 23:38,30,12,31,微博 weibo.com,FgcBQ7mNY,1,9833,553,9
357,【省委书记王东明对九寨沟7.0级地震抢险救援工作作出指示】#四川九寨沟7.0级地震#灾情发生后，省委书记王东明第一时间作出指示，要求立即启动应急响应，派出省委省政府工作组赶赴现场指导救灾工作，强调首先要全力开展抢险救援，千方百计减少人员伤亡；要迅速把群众和游客转移到安全地带；要尽快 ????...展开全文c,8月8日 23:27,4,2,16,专业版微博,FgcxrpLEw,1,9834,554,9
